"sid","category","content","description","exp","img1","img2","img3","img4","location","price1","price2","purpose1","purpose2","uid","vendorname"
1,"Groomwear","My Perfect Fit is a designer couture label. Every piece of clothing has a unique feature that makes the bride and bridesmaid feel and look their best on their special days. Their designers are a dependable and talented designer who ensures customer satisfaction by using high-quality fabrics and keeping the bridegroom-to-vision be's and requirements in mind. Bridal Lehengas and Light Lehengas are among the styles available. Their team of experts does arrangements for their client’s specific desires and visions, helping to ensure that their wedding is everything they hoped for. They work with various price points without compromising service quality to serve a diverse core audience. They have been doing this work for a very long time and hence have a lot of experience."," My Perfect Fit - Groom Wear",120,"https://image.wedmegood.com/resized/1000X/uploads/member/332962/1632669167_Sherwani_Cover_Photo_Photo__WedMeGood_.png?crop=25,0,948,533","https://img.republicworld.com/republic-prod/stories/promolarge/xhdpi/jdeznelskguuoxud_1608529249.jpeg","https://cdn.kamatharjun.com/wp-content/uploads/2022/04/Indian-Destination-Wedding-Gujarat-Nidhi-Shirish-104.jpg","https://s3-us-west-2.amazonaws.com/shaadiwishnewbucket/1adf6941-ce72-4dd1-9dfe-e9ede1fcdfc3.jpg","Mumbai",500.0,20000.0,"1 day","4 days",2,"Dream Wedding"
3,"Catering","Sri Janani Catering Service is a catering company serving all over Chennai. Sri Janani Catering Service started catering for wedding and other events. With countless clients, ranging from public to private companies, Sri Janani Catering Service gained a reputation for elegant presentations and impressive services. Be assured of the fact that the food is prepared & served under hygienic conditions and all rates are inclusive of top-class service, crockery & cutlery. Cuisines offered: North Indian South Indian Chinese Desserts Bengali","Catering Service-Pune",100,"https://image.wedmegood.com/resized/1000X/uploads/member/1455625/1671265674_Sri_Janani_Catering.jpg","https://c1.wallpaperflare.com/preview/786/370/483/buffet-indian-food-spices.jpg","https://c4.wallpaperflare.com/wallpaper/848/809/121/red-and-yellow-boat-wallpaper-preview.jpg","https://c1.wallpaperflare.com/preview/115/999/585/salad-bar-salad-buffet-salad-buffet.jpg","Pune",300.0,500.0,"1 plate"," 2 plate",2,"Dream Wedding"
4,"decoration","Wedding Mela is an end to end wedding planning brand located in Chennai. They have dedicated professionals with the best skills to create something new and unique. Efficiency and success is a habit of this passionate team who put their heart and soul in preparing for the big day with all details attended to perfection. They have experience of more than 5 years. Their decor ideas and designs are definitely a source of inspiration that will surely make your venue look outstanding from every angle. They have covered many international weddings. Areas Covered: Chennai","Wedding Mela",200,"https://image.wedmegood.com/resized/1000X/uploads/member/1063481/1632771129_DAN00264.jpg?crop=12,184,2023,1138","https://blog.shahenai.com/wp-content/uploads/2022/01/wedding-pandal-decoration-in-field-wedding-planner-kolkata.jpg","https://www.ibfw.com/vendorimages/199031397659727987.jpg","https://www.ibfw.com/vendorimages/505733302172938932.jpg","Mumbai",50000.0,70000.0,"2 day event","2 day event",2,"Dream Wedding"
5,"Photoshoot","At Glowwed Films, they capture the love & wedding stories of modern Indian couples. Based in Mumbai, they cover events all over India. By the team Glowwed Films Out of passion, love for photography and knack for handling clients & extensive events, Glowwed Films was brought into existence. started our journey in 2015, since then we have captured countless weddings and pre-weddings.","Wedding Photographers",100,"https://image.wedmegood.com/resized/1000X/uploads/member/446758/1646300557_LAL_8364.jpg?crop=12,226,2024,1139","https://image.wedmegood.com/resized/1000X/uploads/member/446758/1650453214_1.jpg","https://i.pinimg.com/736x/4c/38/2c/4c382c5d02d4908b0daface5666d1dcd.jpg","https://i.pinimg.com/originals/0d/68/f5/0d68f5fa378a6ab4fbc144b6e5740bc2.jpg","Goa",50000.0,90000.0,"perday","perday",2,"Dream Wedding"
6,"Makeup","Ms.Richa is an upscale bridal makeup artist based out of the city of dreams, Mumbai, in the north-western Indian state of Maharashtra, offering all-around wedding makeup solutions. She is a talented artist giving beautiful makeovers to her patrons on the most important occasion of their lives. The team of artists is passionate about their work and put in hard yards which are quite evident in the way they offer their services to their clients with enormous dedication. The proficient artists work relentlessly to produce unmatched results and their portfolio is brimming with vibrant colors. The expert professionals are highly proactive to all their clientele's needs. The talented artists are highly skilled and are always on the top of the list for people seeking bridal makeup services in the locality.","Best Makeup ",50,"https://content.jdmagicbox.com/comp/vadodara/a3/0265px265.x265.210625180103.i5a3/catalogue/neelam-beauty-parlour-gotri-vadodara-beauty-parlours-at-home-akmj5mbo4n.jpg?clr=293d29","https://cdn0.weddingwire.in/article/8316/original/1280/jpg/26138-hd-makeup-the-wedding-conteur-high-definition-makeup-advantages.jpeg","http://www.makeupnoor.com/blog/wp-content/uploads/2020/09/Find-the-right-Blush-Color-for-your-skin-tone-2.png","https://www.southindiafashion.com/wp-content/uploads/2019/08/south-indian-bridal-makeup-artists.jpg","Mumbai",3000.0,7000.0," package 1"," package 2",2,"Dream Wedding"
7,"Bridalwear","Sanjana Thakur, the Indian designer has strong love for design and crafts. It was her dream to build a made in India label that supports our heritage craftmanship and bring forward our rich culture and traditional arts.An Architect by profession, her drive and passion for intricate hand embroidery and love for fashion led to the development of the label Sanjana Thakur.Her signature style shows designs inspired by life and nature. She is a curious person and the innovation in design, textiles and embroidery reflects in her outfits.","Bridal Wear",125,"https://www.teahub.io/photos/full/19-199530_new-indian-bridal-dresses-wallpapers-free-hd-indian.jpg","https://wedbook.in/wp-content/uploads/2021/09/Blog-Cover-Pic-3-2-1024x683.jpg","https://c0.wallpaperflare.com/preview/992/394/357/man-sits-beside-woman-touching-the-left-shoulder-of-man.jpg","https://images.shaadisaga.com/shaadisaga_production/photos/pictures/000/527/291/new_large/winter_colours.jpg?1537368724","Pune",10000.0,20000.0,"1 day ","2 days",2,"Dream Wedding"
9,"Photoshoot"," Image Photoshop is a wedding photography company based in the city of dreams, Mumbai. Sam Jagdale is the creative director and lead photographer here and he is truly a rare and gifted candid photographer. For him, the world is a canvas and the camera is his brush through which he paints true emotions, personality, and intensity in each of his subjects of the wedding shoot.","Wedding Photographers",12,"https://wallpaper.dog/large/494847.jpg","https://images.unsplash.com/photo-1630526720753-aa4e71acf67d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OHx8aW5kaWFuJTIwd2VkZGluZ3xlbnwwfHwwfHw%3D&w=1000&q=80","https://wallpaperaccess.com/full/2340886.jpg","https://www.arjunkarthaphotography.com/wp-content/uploads/2016/11/online-wedding-photography-course-cover-1.jpg","Mumbai",90000.0,150000.0,"Photo Package","Photo + Video",3,"Happy-WedService"
10,"Makeup","Makeup, Hair(Buns/Braids/Any Hairstyle), Draping, Lashes","Family Makeup",100,"https://imgmedia.lbb.in/media/2022/11/638744d5f80667369a2af2c0_1669809365421.jpg","https://cdn0.weddingwire.in/vendor/9617/3_2/960/jpg/makeupartist-zodiacmakeupartist-bridalmakeup-5_15_399617-164456713720399.jpeg","https://i.ytimg.com/vi/il4xh2iBzxM/maxresdefault.jpg","https://i.ytimg.com/vi/xRuD9Ktr4wY/maxresdefault.jpg","Pune",5000.0,10000.0,"package 1","package 2",3,"Happy-WedService"
11,"Bridalwear","The Kanjeevaram Saree is one of those wedding staples that every girl wants in her bridal wardrobe, especially if you're a Mumbai or Marathi girl who's had a long lived love affair with sarees. Infact, is bridal bliss even complete without a Kanjivaram Saree? Years have gone by but the popularity of this attire only seems to be peaking. From celebrity designers making them to Bollywood stars wearing them, the Kanjivaram Saree is certainly an attire that you too ought to have on your bucket list, along with other inspiring top notch bridal wear that you could browse on the MerryWedding","How do I know what's trending",200,"https://w0.peakpx.com/wallpaper/845/69/HD-wallpaper-indian-bride-bride-saree-model-indian.jpg","https://fabweddings.in/blog/wp-content/uploads/2020/10/45361674_2233495470079816_5242572115269386240_n-1.jpg","https://www.jomso.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/_/9_2.jpg","https://image.wedmegood.com/resized/800X/uploads/project/24181/1583254333_IMG_20200217_140855_825.jpg","Kolkata",25000.0,35000.0,"package 1","package 2",3,"Happy-WedService"
12,"Groomwear","Armour Bespoke is a menswear designer store located in Pune. They provide high-quality clothing ensembles for all grooms to wear on their wedding day. They are well-known for their beauty, high-quality fabrics, and exceptional craftsmanship. Their fundamental knowledge is combined with skills to create a lovely set of sherwanis for you. Their designs respect Indian heritage and customs, and their team of experts will curate your costume with the finest precision and correctness. They provide extremely elegant and luxurious bespoke menswear that is appropriate for your wedding day.","Groom Wear",120,"https://image.wedmegood.com/resized/1000X/uploads/member/685899/1648898482__DSC8373.JPG?crop=5,739,1591,895","https://www.parivarceremony.com/media/catalog/product/cache/62408a38a401bb86dbe3ed2f017b539f/1/0/1024772.jpg","https://image.wedmegood.com/resized/1000X/uploads/member/685899/1667463954_IMG_9432.png","https://www.parivarceremony.com/media/catalog/product/cache/62408a38a401bb86dbe3ed2f017b539f/1/0/1024577.jpg","Goa",15000.0,25000.0,"package 1","package 2",3,"Happy-WedService"
